Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveViewer.cs,26,8,M:System.Windows.Forms.UserControl.#ctor,,,,,public WaveViewer()          {              // This call is required by the Windows.Forms Form Designer.              InitializeComponent();              this.DoubleBuffered = true;			            }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveViewer.cs,13,51,T:System.Windows.Forms.UserControl,,,,,UserControl
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.Designer.cs,19,12,M:System.Windows.Forms.Control.Dispose(System.Boolean),,,,,base.Dispose(disposing);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,79,8,T:System.Windows.Forms.PaintEventArgs,,,,,protected override void OnPaint(PaintEventArgs pe)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,87,16,T:System.Drawing.Pen,,,,,"pe.Graphics.DrawLine(foregroundPen, x, y1, x, y1 + lineHeight);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,87,16,T:System.Drawing.Graphics,,,,,"pe.Graphics.DrawLine(foregroundPen, x, y1, x, y1 + lineHeight);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,87,16,P:System.Windows.Forms.PaintEventArgs.Graphics,,,,,"pe.Graphics.DrawLine(foregroundPen, x, y1, x, y1 + lineHeight);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,87,16,"M:System.Drawing.Graphics.DrawLine(System.Drawing.Pen,System.Single,System.Single,System.Single,System.Single)",,,,,"pe.Graphics.DrawLine(foregroundPen, x, y1, x, y1 + lineHeight);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,86,16,P:System.Windows.Forms.Control.Height,,,,,float y1 = (this.Height - lineHeight) / 2;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,AudioProcessor\AudioProcessor.csproj,File,AudioProcessor\vendors\NAudio\NAudio.WinForms\Gui\WaveformPainter.cs,85,16,P:System.Windows.Forms.Control.Width,,,,,float lineHeight = this.Height * GetSample(x - this.Width + insertPos);
